sujeto,dia_prueba,t_total_s,t_prueba1_s,t_prueba2_s,rechaza,llora,lo_toca,lo_prueba,lo_consume,val_inicio,aro_inicio,val1_antes,val1_durante,val1_despues,val2_antes,val2_durante,val2_despues,aro1_antes,aro1_durante,aro1_despues,aro2_antes,aro2_durante,aro2_despues,val_final,aro_final,comentarios
ID3,15,6.29,0.0,,0.0,0.0,0.0,1.0,1.0,0.1547496,0.3599792,,0.1547496,0.2310487,,,,,0.3599792,0.3891344,,,,,,
ID3,16,17.79,1.4,10.6,0.0,0.0,0.0,1.0,1.0,0.16287,0.3506917,0.1774102,0.2005265,0.1812546,0.3231079,0.2764749,0.3459297,0.4864165,0.4667538,0.458896,0.6864963,0.6671375,0.6285418,0.1154838,0.6620529,
ID3,17,18.33,1.03,15.06,0.0,0.0,0.0,1.0,1.0,0.4142,0.98755,0.4092216,0.2718996,0.2702428,0.3000882,0.2864042,0.2770983,0.9792544,0.9377018,0.8603294,0.5099448,0.5419103,0.5299762,0.07542556,0.7733446,
ID4,1,10.46,1.6,4.7,1.0,1.0,0.0,1.0,1.0,0.1644629,0.4681,0.5061705,0.5762245,0.5139787,,0.489541,0.3801179,0.7581916,0.7637396,0.7559392,,0.7533479,0.7087711,0.2758455,0.925384,Mueve la cabeza en forma de rechazo
ID4,2,10.03,1.5,6.36,0.0,1.0,1.0,1.0,1.0,0.392473,0.99,0.3426192,0.2413983,0.1677933,0.52524,0.5211667,0.4643261,0.9468521,0.8655136,0.7641463,0.7722611,0.8232486,0.7880848,0.7110475,0.8112541,"La segunda vez lo toca, pero no lo consume"
ID4,3,17.17,1.43,,0.0,1.0,1.0,1.0,1.0,0.7243667,0.99,0.7854044,0.7853439,0.7790508,,,,0.9841443,0.9773973,0.9599361,,,,0.49475,0.5671428,Intenta sacarse el alimento con la mano
ID4,4,7.6,1.63,,0.0,1.0,1.0,1.0,0.0,0.7312734,0.99,0.5646949,0.5053896,0.4772785,,,,0.9737952,0.9380705,0.9181502,,,,0.4202164,0.7511766,Intenta sacarse el alimento con la mano. Hace arcadas
ID4,4.2,14.96,7.7,12.36,1.0,1.0,1.0,1.0,0.0,0.46632,0.7001458,0.2931039,0.383307,0.4204992,0.4375155,0.5659603,0.509598,0.4533916,0.4641119,0.6628521,0.565823,0.712985,0.767247,0.1421748,0.4870692,Toca el alimento con la mano.
ID4,5,11.76,,,1.0,0.0,1.0,0.0,0.0,0.1874245,0.4867125,,,,,,,,,,,,,0.2335062,0.6708413,Aparta la cuchara con las manos y mueve la cabeza. Se encuentra con los ojos lloroso
ID4,6,5.76,1.86,,0.0,0.0,1.0,1.0,1.0,0.3476233,0.701775,0.4297229,0.4324982,0.5278921,,,,0.7802235,0.7669539,0.7609159,,,,0.4073971,0.8656063,Saborea la papilla
